;0;1;2;3;4;5;6;7;8;9;10;11;type
896;9276.96594467;5574.09073597;-15311.6603002;-9320.2058982;-5583.02227508;10620.0363953;1173.45901687;5354.62618081;2139.63816087;3888.98551191;-1822.41766074;5931.64008644;1.0
1562;-9354.40807872;3645.31413177;3455.7316163;-6588.64505987;285.459577911;-5110.40713612;7128.03949416;5985.41353047;-5250.67130365;5046.09041157;-4249.85235442;-1372.01603249;0.0
1714;-1691.34171005;13777.0099168;-9085.2067833;329.060382574;-2352.28774779;-7167.00746077;-19.9004412072;-2323.42796853;185.780284824;-1377.75237257;-3110.44365869;-6517.45057219;0.0
780;-19278.8142085;17313.9999767;-19907.3722667;2607.43037363;-1323.55035234;-9046.26177997;-3707.03253989;-1712.99613279;-5913.61422059;-2584.89660684;871.660398061;1603.55267251;1.0
1552;-46599.1050711;6090.27399684;18932.0306361;-6065.98833673;-7287.14588648;-4990.80710174;389.279532634;49.6897328393;-3012.07021935;-1468.91476759;2114.37505262;365.025343858;0.0
1535;11143.7138482;6689.62207271;-1957.37749595;-2292.19868386;-3572.60790997;-3682.88565447;-414.77091498;54.0584362931;-3611.09812808;4395.67312147;1322.97106849;-184.662625835;0.0
1118;13705.4894032;-15938.7336304;3999.63272282;7925.94564409;1540.22827511;-12076.8741663;-209.789004421;150.152615465;-6736.26789268;2737.55617144;260.998710909;3726.82703178;0.0
939;-51021.9944289;5572.50748148;17947.6582425;-6686.78906572;-9525.97233951;-285.046059237;1858.86779045;-1891.90205452;2261.6130163;-316.680652168;3476.11515704;2779.03132098;1.0
747;-8227.12236233;4146.22303647;-1959.48217852;8141.64348011;1718.61930203;-3534.10522219;-4566.3065718;-4555.56412147;4279.25546462;1658.97112176;-3600.08175006;-1238.01247333;1.0
1002;-39213.7967425;-1070.39627621;31077.0013611;-11672.8595766;-12064.6577247;-256.383898968;4255.25749082;-3507.88108527;7850.55498813;-3039.31068992;2260.06277383;1173.65882971;0.0
925;-927.894631055;16327.0824099;-5611.01008037;-3120.97847307;-3151.43271691;19725.6810295;-3288.12264858;2033.20940978;-2789.26945673;2508.57564666;-4259.13038288;3651.40542199;1.0
915;-7479.91429958;-5008.85470117;-10172.9209471;6939.64894979;1265.39786011;-9035.40578233;-3114.11689248;699.054617713;-1131.75351133;-215.086379519;3879.63828484;3637.46979339;1.0
701;27842.2104475;-22969.270905;-8648.58240612;-133.562862983;-142.288861245;-1948.33427593;12828.5365657;8030.67816754;3272.89147046;58.9763997349;-3144.18205146;-1457.78182383;0.0
1000;-8600.56234272;594.452053705;-1959.5009315;5688.01804589;65.6595765852;-11778.4507038;-1312.45689077;-2838.19217291;7055.16253642;-1609.43646735;-1644.01132104;816.588459515;0.0
1529;15284.4930456;-32852.0955278;12712.7690836;9082.92552648;2630.37391517;442.907988215;1120.67688703;944.603168667;-4496.14018319;-2992.24252063;-1826.68106463;330.158121624;0.0
775;-31208.6344149;14089.2848742;-21736.2564213;2584.76863053;2034.80640188;-4573.52365483;-3058.03537512;-1699.08050342;-2929.87928955;-1303.10487291;7422.77275941;-548.658740404;1.0
876;4785.74646472;34609.4648607;11771.4949037;-4155.44540726;-6579.37344364;3568.91673779;-6631.12351846;2148.67664255;-5791.73905839;4342.51624116;-6739.77872369;3563.2073006;1.0
787;6727.61063867;25559.1067898;-11466.798812;-10817.1211628;3923.77031174;-1946.18780942;-1005.57809842;-4234.17067087;-4077.17162169;8034.9519996;-599.119540063;-1328.40583904;1.0
893;-32438.8483172;6156.22305472;-24193.1535245;10523.2848605;3832.56683943;523.289381064;-6098.30551142;1432.48148102;-9985.08596797;-4840.80575117;10998.5948662;-334.240770559;1.0
802;8358.06136032;773.056165859;-7205.65448195;5131.92649527;1880.4905083;4115.78494792;-7499.78420762;-6695.41318799;1481.23934679;-4214.02929691;-481.321071455;4317.15806941;1.0
1532;-40355.1462084;4755.41556938;12573.3882127;-2682.78749336;-7243.30049617;-5926.88848512;2801.98120089;3202.40934741;-6451.98144573;-2765.62969261;-415.408931973;-1005.17695112;0.0
1927;-4372.4701498;-2160.74563419;-7509.6987873;1000.26783467;7336.13185349;8936.43764576;2486.6703295;2692.60728138;9111.70740336;-4535.67229088;-6044.58801965;-4608.00390892;0.0
1689;-6420.46995592;1957.83862669;-6882.50273713;3932.918801;-1042.17385706;-20723.0377405;-2853.11421639;1774.82841408;-3896.24857703;-3110.70000063;-7241.3433743;4122.84876089;0.0
1725;-18989.9431214;-8164.06164064;8128.59515812;3247.65839213;-666.62624279;4859.24760143;-411.081649629;3198.04081598;4220.02898049;3120.40138557;-1589.88232765;4917.54703277;0.0
1699;9845.30565864;-4479.86009171;-19614.151804;620.587914528;-191.892970412;-1882.50297728;4475.93523567;8589.90399955;-1808.99604797;-8842.8842553;-2956.3923638;-1374.03900472;0.0
755;-2969.78319131;-4076.99423027;-656.855010162;6524.73988872;1130.8800208;1789.5289681;-3412.35932794;-1712.25428056;3215.19695781;3672.50247034;-7156.22935719;-172.310932527;1.0
